target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,6,expanding_ar1,128,0.9845303495315988,0.4296875,0.1675709615112806,0.5027128845338418
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,7,expanding_ar1,126,0.9703407980612734,0.5158730158730159,0.1277847638340555,0.3484368560711139
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,8,expanding_ar1,124,0.9626412258856876,0.532258064516129,0.1049215431103249,0.3004497536351254
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,9,expanding_ar1,122,0.9605746198246728,0.5327868852459017,0.0928021421255603,0.2791939576088913
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,10,expanding_ar1,120,0.9484190130320124,0.525,0.0788583877272798,0.2226395768690396
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,11,expanding_ar1,118,0.946607208612392,0.559322033898305,0.0701789485635008,0.1976333068446633
cpi_D7EO_12m_pct,uk_ipi_c261_12m_pct,12,expanding_ar1,116,0.9277598281101932,0.5431034482758621,0.0660779662888235,0.2142769367032434
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,1,expanding_ar1,138,1.0040755553601743,0.4855072463768116,0.3089935547483641,0.9221449649622514
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,2,expanding_ar1,136,1.009169367580487,0.5,0.1398604812845341,0.4369280074492723
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,3,expanding_ar1,134,0.9936944187173558,0.5149253731343284,0.0988949728328595,0.2657553010644707
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,4,expanding_ar1,132,0.9793715478848052,0.5681818181818182,0.0735038385105874,0.4410230310635243
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,5,expanding_ar1,130,0.9849632665258832,0.6230769230769231,0.0861799432865795,0.4771876964679284
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,6,expanding_ar1,128,0.9969427542603386,0.5546875,0.1366821476207623,0.5027128845338418
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,7,expanding_ar1,126,1.0007674397353885,0.5952380952380952,0.1763460145263487,0.3484368560711139
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,8,expanding_ar1,124,1.0070190727585484,0.6209677419354839,0.2103874097690343,0.3155811146535515
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,9,expanding_ar1,122,1.0144691570785584,0.5983606557377049,0.2650657111016639,0.3975985666524958
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,10,expanding_ar1,120,1.0220405653341815,0.6083333333333333,0.3442425780770208,0.5163638671155313
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,11,expanding_ar1,118,1.0318589709104873,0.6101694915254238,0.4321196324380311,0.6367152013982379
cpi_D7EO_12m_pct,uk_ipi_c261_noneu_12m_pct,12,expanding_ar1,116,1.0390501686039029,0.6206896551724138,0.5996655474567056,0.7195986569480467
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,1,expanding_ar1,130,1.002633771943234,0.4769230769230769,0.7917559267608554,0.9221449649622514
cpi_D7EO_12m_pct,uk_ipi_c262_12m_pct,2,expanding_ar1,129,1.0006520952449771,0.4573643410852713,0.3675369477713376,0.5513054216570065
