target,impulse,period,n,cumulative_effect,standard_error,z,p_value,r_squared
cpi_L7GT_12m_pct,uk_ipi_c26_noneu_12m_pct,full,124,-0.04535590666188498,0.06404505387646191,-0.7081875010890476,0.4788288269341158,0.49849808482941826
cpi_L7GT_12m_pct,uk_ipi_c26_noneu_12m_pct,from_2023,42,0.195637747123473,0.17072165032471726,1.1459457353614182,0.25181760574002304,0.4772647044636513
cpi_L7GT_12m_pct,uk_ipi_c261_12m_pct,full,124,0.6194572998886554,0.1444555399667987,4.288221137320382,1.8010973489723798e-05,0.5284816526228835
cpi_L7GT_12m_pct,uk_ipi_c261_12m_pct,from_2023,42,0.697024836694673,0.6626933752752732,1.0518059523458176,0.2928885875625756,0.46032652049943057
cpi_L7GT_12m_pct,uk_ipi_c261_noneu_12m_pct,full,124,0.09635766506741594,0.08399548408556451,1.1471767335641323,0.25130858538743206,0.48252705808356444
cpi_L7GT_12m_pct,uk_ipi_c261_noneu_12m_pct,from_2023,42,1.037760265619107,1.0374020110709214,1.0003453382048255,0.31714341324872175,0.4558418762548233
cpi_L7GT_12m_pct,uk_ipi_c262_12m_pct,full,115,-0.26637379064224026,0.13404336140607745,-1.9872210592755475,0.046897905118405414,0.6310666055455407
cpi_L7GT_12m_pct,uk_ipi_c262_12m_pct,from_2023,33,,,,,
cpi_L7GT_12m_pct,uk_ipi_c262_noneu_12m_pct,full,115,0.0010938663107077223,0.0733580349498764,0.014911336044580966,0.9881029160727417,0.605380662631923
cpi_L7GT_12m_pct,uk_ipi_c262_noneu_12m_pct,from_2023,33,,,,,
cpi_L7GU_12m_pct,uk_ipi_c26_12m_pct,full,124,0.22504807120614712,0.1109839700106862,2.0277529375141126,0.04258546979830107,0.7222466438978754
